servicio 1	sentido 1	nave 1	viaje 1	por_onu	pol_onu	pod_onu	podl_onu	direct_ts	item_type	cnt_type_iso	comm_name	issuer_name	custumer_type	cantidad	freight_tons_un	weight_un	teus	lost_teus	flete_all_in_us_un	other_cost
NHX	WB	KOTA LEMBAH                        	5	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	HYUNDAI PARAMOUNT	6	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	HYUNDAI PARAMOUNT	6	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	NYK FURANO	9	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	NYK FURANO	9	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	NYK FURANO	9	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	NYK FURANO	9	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	NYK FURANO	10	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	NYK FURANO	10	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	NYK FURANO	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	NYK FURANO	10	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	NYK FUSHIMI	10	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	NYK FUSHIMI	10	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	NYK FUSHIMI	10	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	NYK FUSHIMI	10	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	NYK FUSHIMI	10	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	NYK FUSHIMI	10	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	NYK FUSHIMI	10	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	NYK FUSHIMI	10	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	BREVIK BRIDGE	14	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	BREVIK BRIDGE	14	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	BREVIK BRIDGE	14	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	BREVIK BRIDGE	14	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	EB	NYK FUJI	14	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	NYK FUJI	14	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	NYK FUJI	14	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	NYK FUJI	14	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	BREVIK BRIDGE	15	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	BREVIK BRIDGE	15	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	BREVIK BRIDGE	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	BREVIK BRIDGE	15	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	NYK FUJI	15	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	NYK FUJI	15	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	NYK FUJI	15	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	NYK FUJI	15	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	NYK FUJI	15	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	NYK FUJI	15	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	NYK FUJI	15	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	NYK FUJI	15	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	NYK FUTAGO	17	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	NYK FUTAGO	17	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	NYK FUTAGO	17	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	NYK FUTAGO	17	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	NYK FUTAGO	17	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	NYK FUTAGO	17	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	NYK FUTAGO	17	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	NYK FUTAGO	17	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	KOTA LATIF	67	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	KOTA LATIF	67	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	KOTA LATIF	67	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	KOTA LATIF	67	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	KOTA LATIF	67	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	KOTA LATIF	67	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	KOTA LATIF	67	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	KOTA LATIF	67	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	BILBAO BRIDGE	117	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	BILBAO BRIDGE	117	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	BILBAO BRIDGE	117	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	BILBAO BRIDGE	117	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	BILBAO BRIDGE	118	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
